constraintsStrength,erreygersE,healthyDietReward,inertiaCoefficient,maxProbaToSwitch,numOfScenario,numberOfHealthy,seed,socialInequality,openmole$experiment
0.12894399,0.04660360030760138,0.153103026,0.819531377,0.890470449,3,1213503,-7160891095164301554,1.5237911426970234,18191
0.12894399,0.0463706759507774,0.153103026,0.819531377,0.890470449,3,1214561,-5869985663140842686,1.527083412591683,18358
0.12894399,0.04619908882557047,0.153103026,0.819531377,0.890470449,3,1213390,-2103372600363316283,1.526348305502437,18360
0.12894399,0.04603575254458231,0.153103026,0.819531377,0.890470449,3,1209599,4067736325245682642,1.5226838922798944,18362
0.12894399,0.04633194087597193,0.153103026,0.819531377,0.890470449,3,1213151,-2731519152537601215,1.528458693370667,18365
0.12894399,0.04656549239567268,0.153103026,0.819531377,0.890470449,3,1212774,2223634567389393321,1.53033963328358,18364
0.12894399,0.04654544644308774,0.153103026,0.819531377,0.890470449,3,1208277,-4500664214684694538,1.5344605356299874,18215
0.12894399,0.04613592005658244,0.153103026,0.819531377,0.890470449,3,1206658,-1316387671385602048,1.5262944082675152,18217
0.12894399,0.04633977325002973,0.153103026,0.819531377,0.890470449,3,1211510,-5250098653696222535,1.5266130739252064,18213
0.12894399,0.04657356513874811,0.153103026,0.819531377,0.890470449,3,1210280,142301111759885273,1.529184863116179,18211
0.12894399,0.04668756064379019,0.153103026,0.819531377,0.890470449,3,1216514,-3632516453031257502,1.526532097457472,18209
0.12894399,0.0471626464683921,0.153103026,0.819531377,0.890470449,3,1215613,251175873337515839,1.5378055765931071,18226
0.12894399,0.04654167608953229,0.153103026,0.819531377,0.890470449,3,1213379,2233097835635911703,1.5291635728245299,18219
0.12894399,0.04618885789236673,0.153103026,0.819531377,0.890470449,3,1212735,-7697110483771814211,1.5233786071932631,18221
0.12894399,0.04649109302550536,0.153103026,0.819531377,0.890470449,3,1213940,-374221803471239119,1.5274467883516272,18224
0.12894399,0.04685081165469362,0.153103026,0.819531377,0.890470449,3,1214156,3413089345721171551,1.5305018172227483,18222
0.12894399,0.04568803695904242,0.153103026,0.819531377,0.890470449,3,1209736,-2369007573733077035,1.5220472694977893,18106
0.12894399,0.046018625449902546,0.153103026,0.819531377,0.890470449,3,1213244,-6033206097126890876,1.5238762286389584,18103
0.12894399,0.046456337351459216,0.153103026,0.819531377,0.890470449,3,1213858,-6522152041624925815,1.5303166414401506,18101
0.12894399,0.046334725051856145,0.153103026,0.819531377,0.890470449,3,1212042,3212342716309465833,1.5287671172254302,18100
